Tear,AUC,Accuracy,Sensitivity,Specifity,Weighted Utility
acl,0.5,0.7976190476190477,0.0,1.0,0.7159351486854008
meniscus,0.7247717589774803,0.7523809523809524,0.6193548387096774,0.8301886792452831,0.40899774623465074
abnormal,0.5,0.8238095238095238,1.0,0.0,0.6435997142555542
