Tear,AUC,Accuracy,Sensitivity,Specifity,Weighted Utility
acl,0.7378402107111501,0.861904761904762,0.5294117647058824,0.9462686567164179,0.2448342226411649
meniscus,0.7831405964698722,0.8023809523809524,0.7096774193548387,0.8566037735849057,0.3747657187863329
abnormal,0.7442587095766287,0.8761904761904762,0.9479768786127167,0.5405405405405406,0.3917115972736646
